,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,percent,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance,RiskPerformance
440,61,183,26,111,3,1,1,60,7,6,2,5,0,20,36,1,1,94,,1,1,0,100,0.628930817610063,True,True,60.0,5,Good
659,56,201,12,67,25,2,1,85,0,2,5,26,0,31,12,0,0,16,77.0,3,4,1,58,0.628930817610063,True,True,96.0,15,Bad
321,81,58,34,49,5,0,0,100,125,7,7,5,0,80,0,0,0,14,60.0,1,2,0,100,0.14903129657228018,False,False,100.0,5,Good
638,71,235,4,71,32,1,1,94,83,7,2,33,6,27,0,0,0,49,92.0,9,3,1,80,0.14903129657228018,True,False,97.0,26,Good
87,88,286,76,133,4,0,0,100,125,7,7,5,0,60,0,0,0,9,,1,2,0,100,0.14903129657228018,False,False,80.0,5,Good
586,77,281,9,90,37,0,0,100,125,7,7,37,1,38,0,1,1,34,53.0,3,4,1,62,0.14903129657228018,False,False,100.0,22,Bad
289,78,185,12,63,13,0,0,100,125,7,7,13,0,31,0,0,0,45,,8,1,2,100,0.14903129657228018,False,False,100.0,13,Good
372,81,119,8,54,22,0,0,100,125,7,7,25,3,36,0,3,3,28,92.0,2,2,0,67,0.14903129657228018,False,False,88.0,16,Bad
472,86,189,2,76,19,0,0,100,125,7,7,24,3,58,36,0,0,5,100.0,4,3,0,78,0.14903129657228018,False,False,79.0,18,Good
412,55,174,19,86,9,1,0,70,2,5,5,10,0,20,0,0,0,50,75.0,3,1,3,57,0.628930817610063,True,True,90.0,5,Bad
183,62,58,3,18,4,0,0,100,125,7,7,4,3,25,2,6,6,99,97.0,3,1,1,100,0.14903129657228018,False,False,100.0,4,Bad
813,40,166,3,100,12,11,7,48,1,2,2,23,1,17,3,5,5,72,,11,1,3,87,0.628930817610063,True,True,52.0,20,Bad
294,71,200,8,74,35,0,0,97,38,7,6,39,3,56,0,0,0,82,92.0,4,6,3,91,0.14903129657228018,True,False,90.0,35,Bad
817,73,181,3,59,22,0,0,100,125,7,7,22,2,41,0,0,0,56,54.0,6,5,1,79,0.14903129657228018,False,False,100.0,17,Bad
388,65,176,3,101,34,0,0,92,14,7,6,36,1,28,0,3,3,87,0.0,9,3,6,92,0.14903129657228018,True,False,94.0,33,Bad
96,77,206,11,90,15,0,0,100,125,7,7,20,1,27,10,0,0,38,,3,1,1,67,0.14903129657228018,False,False,75.0,13,Good
265,83,217,1,73,34,0,0,100,125,7,7,39,2,21,1,1,1,7,48.0,6,2,1,57,0.14903129657228018,False,False,87.0,22,Good
85,84,227,19,104,26,0,0,96,64,7,6,27,0,15,36,0,0,32,,4,1,0,56,0.14903129657228018,True,False,96.0,15,Good
599,71,209,7,88,35,0,0,91,19,7,6,35,3,34,36,0,0,38,61.0,6,7,0,87,0.14903129657228018,True,False,100.0,30,Bad
676,73,174,3,63,13,1,0,86,18,7,5,14,2,36,3,2,2,24,,2,1,0,75,0.14903129657228018,True,False,93.0,10,Bad
778,81,224,8,110,27,0,0,96,14,7,6,31,1,15,0,0,0,12,,7,1,0,62,0.14903129657228018,True,False,87.0,19,Good
657,68,253,11,99,36,1,1,85,10,6,2,40,2,28,0,0,0,44,,9,1,1,63,0.628930817610063,True,True,90.0,25,Good
122,67,100,3,61,19,0,0,100,125,7,7,21,1,43,0,0,0,99,82.0,7,1,5,89,0.14903129657228018,False,False,90.0,18,Bad
322,67,106,7,63,24,0,0,100,125,7,7,24,1,63,7,0,0,51,22.0,6,7,0,87,0.14903129657228018,False,False,100.0,20,Good
415,64,164,8,71,25,1,0,92,7,6,6,26,3,38,0,3,3,58,84.0,3,3,0,67,0.628930817610063,True,True,96.0,17,Bad
325,83,255,3,72,29,0,0,100,125,7,7,34,2,21,36,2,2,2,,5,1,0,38,0.14903129657228018,False,False,85.0,12,Bad
392,88,188,17,107,9,0,0,100,125,7,7,16,0,33,36,0,0,0,69.0,1,2,0,57,0.14903129657228018,False,False,56.0,9,Bad
196,55,116,3,53,12,3,1,75,64,7,2,16,2,38,0,2,2,97,73.0,6,4,4,100,0.14903129657228018,True,False,75.0,16,Bad
135,64,286,1,72,35,0,0,100,125,7,7,36,4,39,3,3,3,73,79.0,10,5,3,80,0.14903129657228018,False,False,97.0,28,Bad
723,80,161,5,48,10,0,0,90,24,7,6,10,3,50,3,1,1,8,74.0,2,2,0,67,0.14903129657228018,True,False,100.0,6,Bad
233,57,162,7,56,15,0,0,87,2,6,6,15,1,27,0,0,0,85,,3,1,2,100,0.628930817610063,True,True,100.0,15,Bad
622,90,176,30,103,10,0,0,100,125,7,7,10,0,10,0,0,0,6,,2,1,0,60,0.14903129657228018,False,False,100.0,6,Good
825,83,198,3,53,38,0,0,100,125,7,7,39,6,8,36,4,2,4,,2,1,0,18,0.14903129657228018,False,False,97.0,7,Good
327,65,142,14,85,9,4,3,82,12,7,3,13,0,64,0,1,1,30,35.0,2,2,0,100,0.14903129657228018,True,False,69.0,13,Bad
551,85,164,4,90,34,0,0,100,125,7,7,37,2,76,3,1,1,2,,2,1,0,100,0.14903129657228018,False,False,92.0,37,Good
715,84,397,71,199,8,0,0,88,65,7,6,8,0,13,0,0,0,0,,0,2,0,50,0.14903129657228018,True,False,100.0,4,Good
291,81,128,5,58,7,0,0,100,125,7,7,7,1,43,1,1,1,31,81.0,1,2,1,50,0.14903129657228018,False,False,100.0,3,Bad
533,76,179,2,89,28,0,0,100,125,7,7,30,3,37,36,3,3,17,97.0,6,2,2,62,0.14903129657228018,False,False,93.0,18,Good
663,57,118,16,54,2,7,7,20,10,6,2,10,0,40,0,4,4,40,33.0,1,3,0,83,0.628930817610063,True,True,20.0,8,Bad
693,73,39,5,15,9,0,0,100,125,7,7,9,2,33,0,0,0,28,100.0,5,2,0,100,0.14903129657228018,False,False,100.0,9,Bad
691,63,274,2,94,49,0,0,94,21,7,6,52,2,10,0,1,1,43,77.0,19,3,5,64,0.14903129657228018,True,False,94.0,33,Bad
634,82,180,7,86,22,0,0,100,125,7,7,22,1,50,5,0,0,5,42.0,3,4,0,78,0.14903129657228018,False,False,100.0,17,Good
627,77,178,14,107,20,0,0,100,125,7,7,22,0,55,1,1,1,39,86.0,4,2,0,100,0.14903129657228018,False,False,91.0,22,Good
526,60,198,1,92,12,3,2,81,21,7,2,16,3,69,0,6,6,93,92.0,2,2,0,100,0.14903129657228018,True,False,75.0,16,Bad
324,88,159,11,133,15,0,0,100,125,7,7,18,1,50,7,0,0,0,,1,1,0,40,0.14903129657228018,False,False,83.0,7,Good
131,74,204,14,88,51,0,0,100,125,7,7,64,0,40,36,0,0,34,53.0,6,9,1,75,0.14903129657228018,False,False,80.0,48,Bad
775,57,156,4,71,13,3,2,75,6,2,2,16,1,56,36,1,1,95,49.0,2,2,1,100,0.628930817610063,True,True,81.0,16,Bad
720,63,129,6,51,13,0,0,85,1,6,6,13,3,46,0,3,2,43,2.0,4,2,0,75,0.628930817610063,True,True,100.0,9,Bad
43,72,228,1,69,15,0,0,100,125,7,7,16,2,38,0,2,2,63,70.0,5,2,2,78,0.14903129657228018,False,False,94.0,12,Good
211,70,88,7,42,14,1,1,93,25,7,2,16,2,67,36,2,2,38,63.0,2,5,0,88,0.14903129657228018,True,False,88.0,14,Bad
151,68,123,20,44,7,0,0,86,10,7,6,7,0,29,1,1,1,26,72.0,2,2,0,80,0.14903129657228018,True,False,100.0,5,Good
282,63,153,1,106,9,4,4,67,22,7,2,15,1,47,36,2,1,0,100.0,0,1,0,50,0.14903129657228018,True,False,60.0,7,Bad
30,77,126,1,53,31,0,0,100,125,7,7,33,3,24,11,0,0,2,59.0,3,2,0,56,0.14903129657228018,False,False,94.0,18,Good
350,75,132,8,48,21,0,0,95,46,7,6,23,2,14,36,1,1,3,67.0,1,2,0,60,0.14903129657228018,True,False,91.0,13,Bad
573,82,260,21,104,19,0,0,100,125,7,7,21,0,43,4,2,2,4,,1,2,0,17,0.14903129657228018,False,False,90.0,3,Good
353,62,69,5,24,8,1,1,89,33,7,6,9,3,33,1,2,2,92,,4,2,3,67,0.14903129657228018,True,False,89.0,6,Bad
773,83,122,13,35,11,0,0,100,125,7,7,11,0,36,0,0,0,2,,2,1,0,50,0.14903129657228018,False,False,100.0,5,Bad
150,85,166,4,124,26,0,0,100,125,7,7,27,2,38,0,1,1,10,68.0,3,4,1,54,0.14903129657228018,False,False,96.0,14,Good
339,73,136,6,51,15,0,0,100,125,7,7,16,3,38,1,3,3,31,,3,1,1,50,0.14903129657228018,False,False,94.0,8,Good
18,72,103,2,55,3,1,1,80,61,7,4,5,2,60,0,3,3,56,,1,2,0,50,0.14903129657228018,True,False,60.0,2,Bad
13,84,137,0,73,49,0,0,100,125,7,7,51,2,25,0,1,1,1,,1,2,0,17,0.14903129657228018,False,False,96.0,8,Good
607,54,113,2,36,37,0,0,97,8,6,6,38,6,50,0,9,9,59,94.0,4,5,1,69,0.628930817610063,True,True,97.0,26,Bad
696,70,141,8,145,17,3,2,80,29,7,2,20,1,20,16,0,0,46,91.0,5,2,1,100,0.14903129657228018,True,False,85.0,20,Good
562,85,326,4,120,21,0,0,100,125,7,7,44,1,26,4,3,3,5,39.0,2,2,0,31,0.14903129657228018,False,False,48.0,13,Good
639,89,148,6,72,22,1,0,96,34,7,5,24,1,13,0,0,0,0,,1,1,0,12,0.14903129657228018,True,False,92.0,2,Good
80,83,113,25,62,15,0,0,100,125,7,7,15,0,40,0,0,0,35,52.0,3,3,0,60,0.14903129657228018,False,False,100.0,9,Bad
420,78,149,5,61,43,0,0,100,125,7,7,44,1,47,1,2,2,9,91.0,3,9,0,80,0.14903129657228018,False,False,98.0,35,Good
774,60,282,23,108,5,4,1,50,13,7,4,10,0,40,0,1,1,115,62.0,4,3,2,88,0.14903129657228018,True,False,50.0,8,Bad
492,75,160,5,69,12,0,0,100,125,7,7,12,2,42,2,2,2,85,100.0,2,2,2,83,0.14903129657228018,False,False,100.0,9,Bad
229,78,73,19,46,7,0,0,100,125,7,7,7,0,43,19,0,0,27,,3,1,0,100,0.14903129657228018,False,False,100.0,7,Bad
278,87,174,1,73,4,0,0,100,125,7,7,5,2,40,0,1,1,9,,1,1,0,67,0.14903129657228018,False,False,80.0,3,Good
375,67,134,13,61,17,0,0,94,20,7,6,17,0,35,0,1,1,22,70.0,4,5,2,82,0.14903129657228018,True,False,100.0,13,Bad
735,60,161,5,80,34,1,0,89,2,6,5,35,5,20,36,1,1,51,37.0,13,2,1,79,0.628930817610063,True,True,97.0,27,Bad
558,72,232,5,77,21,0,0,91,5,6,6,22,3,32,0,0,0,20,85.0,2,2,0,36,0.628930817610063,True,True,95.0,7,Bad
76,80,390,3,86,29,0,0,100,125,7,7,29,4,24,9,0,0,6,74.0,4,3,0,44,0.14903129657228018,False,False,100.0,12,Good
343,65,120,3,51,9,1,1,70,51,7,6,10,3,50,2,2,1,47,89.0,4,2,0,86,0.14903129657228018,True,False,90.0,8,Good
251,61,129,7,54,24,0,0,100,125,7,7,24,3,17,36,2,2,31,86.0,10,2,4,92,0.14903129657228018,False,False,100.0,22,Bad
425,63,148,2,56,31,1,1,97,67,7,2,38,5,45,0,3,3,82,,9,2,6,92,0.14903129657228018,True,False,82.0,34,Bad
418,62,102,3,51,20,1,0,78,11,6,5,23,4,39,0,1,1,56,85.0,3,3,2,75,0.628930817610063,True,True,87.0,17,Bad
458,60,28,3,17,13,0,0,100,125,7,7,13,2,38,0,3,3,67,96.0,5,4,3,75,0.14903129657228018,False,False,100.0,9,Bad
808,71,164,10,81,12,0,0,100,125,7,7,12,1,33,0,1,0,83,40.0,5,2,2,78,0.14903129657228018,False,False,100.0,9,Bad
557,63,320,12,88,13,1,1,79,2,4,4,14,0,29,0,0,0,17,,3,1,0,36,0.628930817610063,True,True,93.0,5,Bad
116,59,220,87,132,10,5,2,59,3,6,2,17,0,41,22,0,0,0,,0,1,0,33,0.628930817610063,True,True,59.0,5,Bad
92,62,144,6,81,4,5,3,33,17,7,2,9,1,22,36,0,0,36,59.0,2,1,0,75,0.14903129657228018,True,False,44.0,6,Bad
711,89,423,18,110,13,0,0,100,125,7,7,13,0,15,0,0,0,2,59.0,2,1,0,43,0.14903129657228018,False,False,100.0,5,Good
763,60,82,14,38,19,0,0,95,12,7,6,20,0,35,16,0,0,68,,6,2,3,62,0.14903129657228018,True,False,95.0,12,Bad
747,63,125,2,57,39,0,0,100,125,7,7,59,2,29,0,7,6,69,85.0,10,4,7,71,0.14903129657228018,False,False,66.0,41,Bad
227,82,115,5,57,19,1,0,95,72,7,5,21,2,24,0,6,6,9,,2,2,0,20,0.14903129657228018,True,False,90.0,4,Good
487,69,159,12,57,18,0,0,95,32,7,6,20,0,20,0,0,0,83,,5,1,2,75,0.14903129657228018,True,False,90.0,15,Bad
610,69,51,4,20,6,2,2,86,54,7,2,9,3,43,0,3,3,48,71.0,3,2,0,100,0.14903129657228018,True,False,67.0,9,Bad
29,80,93,2,34,13,0,0,100,125,7,7,15,3,40,7,0,0,6,84.0,3,3,0,67,0.14903129657228018,False,False,87.0,10,Good
605,74,565,4,148,24,0,0,96,62,7,6,24,2,13,36,0,0,34,90.0,6,1,1,58,0.14903129657228018,True,False,100.0,13,Bad
24,75,175,2,61,35,0,0,100,125,7,7,38,7,34,2,2,2,16,83.0,3,2,2,33,0.14903129657228018,False,False,92.0,12,Good
439,61,187,8,46,26,4,0,88,38,7,5,33,1,36,0,5,5,60,77.0,7,2,3,75,0.14903129657228018,True,False,79.0,24,Bad
625,82,197,75,173,12,1,0,93,48,7,5,14,0,7,36,1,1,1,,6,2,0,67,0.14903129657228018,True,False,86.0,9,Good
277,65,321,6,114,27,1,1,82,17,7,3,28,3,32,0,0,0,66,,6,1,1,88,0.14903129657228018,True,False,96.0,24,Bad
490,74,159,9,69,26,0,0,100,125,7,7,27,2,48,36,0,0,61,67.0,3,4,2,78,0.14903129657228018,False,False,96.0,21,Bad
718,76,218,12,85,27,0,0,100,125,7,7,41,0,21,0,0,0,44,,3,1,1,42,0.14903129657228018,False,False,66.0,17,Good
823,68,178,7,67,36,2,0,78,7,6,5,41,3,54,36,0,0,17,65.0,4,5,0,64,0.628930817610063,True,True,88.0,26,Bad
255,77,237,5,78,27,0,0,100,125,7,7,27,2,11,15,0,0,35,,5,1,2,67,0.14903129657228018,False,False,100.0,18,Good
514,91,538,47,212,12,0,0,100,125,7,7,12,0,17,0,0,0,4,,1,2,0,14,0.14903129657228018,False,False,100.0,1,Good
649,69,50,5,32,15,0,0,100,125,7,7,16,1,50,0,2,2,55,68.0,5,1,1,67,0.14903129657228018,False,False,94.0,10,Good
677,59,142,18,50,14,2,1,80,10,6,5,16,0,50,0,1,1,82,48.0,3,3,1,78,0.628930817610063,True,True,88.0,12,Bad
462,67,213,1,56,53,1,0,98,42,7,5,59,11,18,2,2,2,22,89.0,7,5,1,52,0.14903129657228018,True,False,90.0,30,Bad
142,65,77,13,52,11,3,3,83,44,7,4,14,0,58,0,0,0,71,,2,1,2,60,0.14903129657228018,True,False,79.0,8,Bad
743,74,207,3,72,43,0,0,100,125,7,7,43,3,35,0,1,1,10,53.0,10,2,0,65,0.14903129657228018,False,False,100.0,27,Good
600,68,180,1,91,9,1,1,82,22,7,3,11,2,9,0,2,2,27,,4,2,1,67,0.14903129657228018,True,False,82.0,7,Bad
194,70,252,3,73,20,4,2,88,31,7,3,24,4,67,2,1,1,16,93.0,3,2,0,63,0.14903129657228018,True,False,83.0,15,Bad
650,61,114,18,63,16,1,1,72,8,2,6,19,0,56,0,0,0,13,,1,1,0,50,0.628930817610063,True,True,84.0,9,Bad
66,72,255,2,92,41,0,0,98,11,7,6,42,1,17,0,3,3,9,,9,2,1,53,0.14903129657228018,True,False,98.0,22,Good
300,78,164,10,82,15,0,0,100,125,7,7,16,1,38,0,0,0,56,69.0,3,2,0,83,0.14903129657228018,False,False,94.0,13,Good
355,79,222,6,94,24,0,0,100,125,7,7,24,2,42,9,0,0,82,48.0,2,4,1,88,0.14903129657228018,False,False,100.0,21,Bad
517,56,161,33,118,6,3,2,71,8,2,5,10,0,10,0,0,0,81,,3,2,2,75,0.628930817610063,True,True,60.0,7,Bad
480,73,122,2,53,11,0,0,100,125,7,7,12,3,58,4,2,2,90,96.0,4,2,1,86,0.14903129657228018,False,False,92.0,10,Bad
253,86,227,9,103,32,0,0,100,125,7,7,35,2,28,14,0,0,14,16.0,3,2,0,42,0.14903129657228018,False,False,91.0,14,Good
357,63,104,3,42,13,3,3,87,29,2,3,15,3,40,36,4,4,41,100.0,5,6,0,85,0.628930817610063,True,True,87.0,12,Good
272,72,206,3,75,49,0,0,100,125,7,7,49,6,35,6,0,0,56,67.0,7,3,2,83,0.14903129657228018,False,False,100.0,40,Good
55,56,70,6,31,28,0,0,96,43,7,6,29,7,25,36,2,2,71,,8,1,4,56,0.14903129657228018,True,False,97.0,16,Bad
204,79,409,16,127,16,1,1,94,53,7,4,17,0,29,0,0,0,49,,2,2,0,33,0.14903129657228018,True,False,94.0,5,Bad
57,81,243,1,89,41,0,0,100,125,7,7,44,9,27,0,7,6,1,39.0,7,4,0,50,0.14903129657228018,False,False,93.0,22,Good
134,87,393,2,110,20,0,0,100,125,7,7,31,1,42,10,0,0,4,,3,2,0,33,0.14903129657228018,False,False,65.0,10,Good
232,69,130,2,60,13,3,1,82,41,7,2,18,1,53,0,3,3,6,60.0,3,4,1,88,0.14903129657228018,True,False,72.0,15,Bad
722,63,243,1,80,13,1,0,75,4,6,5,16,3,50,0,2,2,14,,6,1,0,78,0.628930817610063,True,True,81.0,12,Bad
576,79,286,10,128,28,0,0,100,125,7,7,32,1,18,1,3,3,2,,5,1,1,38,0.14903129657228018,False,False,88.0,12,Good
200,56,217,14,101,29,1,1,60,8,6,4,31,0,23,0,2,2,93,26.0,9,5,5,100,0.628930817610063,True,True,94.0,31,Good
198,64,278,16,196,34,2,1,81,9,6,4,36,0,17,36,0,0,88,,16,1,3,95,0.628930817610063,True,True,94.0,34,Bad
59,80,145,2,80,25,0,0,92,50,7,6,26,3,50,3,1,1,2,85.0,2,3,0,56,0.14903129657228018,True,False,96.0,14,Good
705,62,489,6,147,17,0,0,67,10,6,6,21,1,19,0,3,3,46,,6,1,2,62,0.628930817610063,True,True,81.0,13,Bad
429,73,94,1,41,13,0,0,100,125,7,7,21,5,67,36,3,3,0,97.0,1,3,0,67,0.14903129657228018,False,False,62.0,14,Bad
519,88,219,2,80,28,0,0,100,125,7,7,32,5,34,22,0,0,5,69.0,6,4,0,67,0.14903129657228018,False,False,88.0,21,Good
7,84,133,1,77,28,0,0,100,125,7,7,32,3,38,36,2,2,32,76.0,1,2,0,60,0.14903129657228018,False,False,88.0,19,Good
692,59,192,10,37,17,0,0,88,19,7,6,18,1,59,0,2,2,49,84.0,4,3,0,78,0.14903129657228018,True,False,94.0,14,Bad
643,69,127,11,57,29,0,0,100,125,7,7,29,1,34,4,2,2,48,91.0,5,3,3,80,0.14903129657228018,False,False,100.0,23,Bad
212,60,429,29,155,13,1,0,94,2,5,2,16,0,25,0,0,0,4,,3,1,0,71,0.628930817610063,True,True,81.0,11,Good
10,79,108,4,58,26,0,0,100,125,7,7,26,1,12,0,7,7,5,,2,1,0,38,0.14903129657228018,False,False,100.0,9,Good
603,88,227,4,90,11,0,0,100,125,7,7,11,1,18,36,1,1,3,,3,1,1,50,0.14903129657228018,False,False,100.0,5,Bad
814,66,256,9,76,32,0,0,97,16,7,6,33,1,30,0,0,0,34,60.0,6,3,3,45,0.14903129657228018,True,False,97.0,14,Good
206,71,158,1,75,31,2,1,88,14,7,3,34,1,32,0,1,1,71,5.0,3,2,2,29,0.14903129657228018,True,False,91.0,9,Bad
679,54,141,8,54,15,2,0,71,2,5,5,17,2,41,36,0,0,49,86.0,3,3,2,75,0.628930817610063,True,True,88.0,12,Bad
176,59,224,17,122,13,3,2,58,8,4,2,33,0,32,36,0,0,55,47.0,4,4,0,62,0.628930817610063,True,True,39.0,20,Bad
