,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,percent,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance,RiskPerformance
592,82,247,21,99,28,0,0,100,125,7,7,32,0,32,15,0,0,20,30.0,5,3,1,67,0.14903129657228018,False,False,88.0,21,Good
259,68,215,3,60,28,0,0,96,62,7,6,28,5,14,36,4,4,59,64.0,4,3,3,35,0.14903129657228018,True,False,100.0,9,Bad
108,57,26,7,18,5,0,0,100,125,7,7,5,1,60,0,1,1,100,,2,1,2,100,0.14903129657228018,False,False,100.0,5,Bad
443,64,86,4,54,7,2,1,78,24,7,2,9,1,11,7,0,0,48,94.0,2,1,0,50,0.14903129657228018,True,False,78.0,4,Bad
32,83,401,18,109,14,0,0,100,125,7,7,14,0,29,0,0,0,16,78.0,4,2,1,67,0.14903129657228018,False,False,100.0,9,Good
181,79,288,4,79,44,0,0,100,125,7,7,47,4,28,11,0,0,27,93.0,7,2,1,53,0.14903129657228018,False,False,94.0,24,Good
642,61,232,6,77,9,1,0,64,15,7,5,11,4,36,4,1,1,76,,2,1,1,60,0.14903129657228018,True,False,82.0,6,Bad
554,82,176,18,107,40,0,0,100,125,7,7,40,0,35,0,0,0,0,75.0,2,2,1,21,0.14903129657228018,False,False,100.0,8,Good
593,80,185,2,64,41,0,0,100,125,7,7,46,5,37,0,4,4,3,93.0,4,4,0,56,0.14903129657228018,False,False,89.0,25,Good
706,72,389,1,71,8,1,0,82,8,6,5,11,2,64,0,2,2,2,65.0,1,5,0,75,0.628930817610063,True,True,73.0,8,Bad
819,66,208,3,83,24,0,0,92,4,6,6,25,3,32,5,0,0,44,,6,1,0,70,0.628930817610063,True,True,96.0,17,Bad
94,72,113,10,77,21,5,5,73,36,7,2,26,1,15,0,2,2,4,,2,1,0,60,0.14903129657228018,True,False,81.0,15,Bad
334,82,589,3,213,6,0,0,100,125,7,7,6,2,17,0,1,1,30,,3,2,1,60,0.14903129657228018,False,False,100.0,3,Good
436,63,206,2,66,19,0,0,82,6,6,6,22,4,45,0,2,2,56,39.0,6,2,1,75,0.628930817610063,True,True,86.0,16,Bad
422,75,340,2,111,19,1,0,96,78,7,5,23,2,13,0,1,1,41,,6,1,1,58,0.14903129657228018,True,False,83.0,13,Bad
732,75,176,5,81,22,0,0,100,125,7,7,25,2,60,0,1,1,63,23.0,2,3,0,83,0.14903129657228018,False,False,88.0,20,Bad
219,71,75,2,29,14,0,0,100,125,7,7,16,3,25,0,1,1,48,91.0,3,2,1,100,0.14903129657228018,False,False,88.0,16,Good
538,80,172,2,32,38,0,0,100,125,7,7,39,14,33,0,29,29,6,88.0,5,4,0,38,0.14903129657228018,False,False,97.0,14,Bad
168,89,302,28,137,22,0,0,100,125,7,7,22,0,0,36,0,0,3,,4,2,0,50,0.14903129657228018,False,False,100.0,11,Good
473,81,179,16,99,16,0,0,100,125,7,7,19,0,26,0,0,0,26,,2,1,1,60,0.14903129657228018,False,False,84.0,11,Bad
689,78,76,1,40,22,0,0,100,125,7,7,23,5,35,0,2,2,2,95.0,2,2,0,67,0.14903129657228018,False,False,96.0,15,Good
64,69,187,2,88,11,0,0,100,125,7,7,15,2,53,0,2,2,86,,4,1,3,100,0.14903129657228018,False,False,73.0,15,Bad
467,81,162,13,66,17,0,0,100,125,7,7,17,0,12,0,1,1,3,,2,1,0,43,0.14903129657228018,False,False,100.0,7,Good
537,86,179,7,61,18,0,0,100,125,7,7,20,1,20,36,0,0,13,,2,1,0,43,0.14903129657228018,False,False,90.0,8,Good
658,94,203,12,125,9,0,0,100,125,7,7,9,0,11,0,0,0,0,,0,1,0,25,0.14903129657228018,False,False,100.0,2,Bad
178,70,278,11,87,16,1,0,94,12,7,5,31,1,18,36,1,1,74,66.0,7,3,3,100,0.14903129657228018,True,False,52.0,31,Bad
315,77,221,0,64,31,0,0,94,14,7,6,36,4,51,36,1,0,9,88.0,3,6,0,45,0.14903129657228018,True,False,86.0,16,Bad
274,87,220,22,143,28,0,0,100,125,7,7,30,0,27,0,0,0,13,,4,1,0,71,0.14903129657228018,False,False,93.0,21,Good
577,61,296,9,122,11,1,1,82,24,2,6,46,1,64,3,1,1,29,61.0,2,4,1,75,0.628930817610063,True,True,24.0,34,Good
148,65,251,9,67,23,4,3,92,11,6,5,24,3,79,0,1,1,86,87.0,2,3,1,100,0.628930817610063,True,True,96.0,24,Bad
714,60,255,1,92,29,0,0,77,2,6,6,34,5,19,5,3,3,14,,5,1,1,60,0.628930817610063,True,True,85.0,20,Good
112,64,209,10,110,21,2,1,92,14,7,5,24,1,42,36,3,3,57,80.0,4,2,2,100,0.14903129657228018,True,False,88.0,24,Bad
374,66,107,7,49,10,0,0,90,50,7,6,10,2,50,0,0,0,97,44.0,3,3,3,100,0.14903129657228018,True,False,100.0,10,Bad
61,69,176,13,84,34,0,0,97,14,7,6,34,0,56,0,1,1,52,73.0,7,6,2,81,0.14903129657228018,True,False,100.0,27,Good
762,66,161,3,84,7,0,0,89,51,7,6,9,1,78,3,1,1,65,,2,2,0,100,0.14903129657228018,True,False,78.0,9,Good
86,59,134,17,83,8,2,0,42,1,6,5,12,0,67,0,3,3,77,,1,1,1,100,0.628930817610063,True,True,67.0,12,Bad
511,81,232,9,81,20,0,0,100,125,7,7,21,1,10,0,0,0,13,,6,1,1,50,0.14903129657228018,False,False,95.0,10,Good
297,74,304,10,78,18,0,0,89,15,7,6,23,1,53,3,2,2,7,54.0,3,3,0,67,0.14903129657228018,True,False,78.0,15,Good
123,87,195,70,207,20,0,0,100,125,7,7,21,0,29,36,0,0,11,,2,2,0,50,0.14903129657228018,False,False,95.0,10,Good
730,55,186,6,96,42,4,2,84,4,2,5,45,1,11,36,4,4,30,,7,2,0,44,0.628930817610063,True,True,93.0,19,Bad
655,80,96,4,49,25,0,0,100,125,7,7,25,3,32,0,1,1,3,77.0,6,3,0,64,0.14903129657228018,False,False,100.0,16,Bad
518,64,175,20,115,13,2,0,56,35,7,5,16,0,19,19,0,0,85,74.0,9,1,6,91,0.14903129657228018,True,False,81.0,14,Bad
741,85,226,2,84,14,0,0,100,125,7,7,27,1,13,2,1,1,6,,6,2,0,75,0.14903129657228018,False,False,52.0,20,Good
222,84,204,8,72,16,0,0,100,125,7,7,17,1,59,0,0,0,23,54.0,2,2,0,67,0.14903129657228018,False,False,94.0,11,Good
218,61,188,10,83,41,0,0,98,4,6,6,41,1,37,0,1,1,24,81.0,1,4,1,44,0.628930817610063,True,True,100.0,18,Bad
740,57,339,7,122,21,1,0,77,8,6,5,26,1,27,3,1,1,78,95.0,10,2,8,80,0.628930817610063,True,True,81.0,20,Good
288,62,137,5,81,9,4,4,62,34,7,4,13,1,38,0,1,1,46,,2,1,1,100,0.14903129657228018,True,False,69.0,13,Bad
351,83,348,2,100,61,0,0,98,24,7,6,67,4,35,1,1,1,6,62.0,7,4,0,52,0.14903129657228018,True,False,91.0,34,Good
221,65,142,3,69,15,0,0,93,5,6,6,15,1,27,0,0,0,25,,4,1,3,50,0.628930817610063,True,True,100.0,7,Bad
444,87,440,9,105,26,0,0,100,125,7,7,34,2,23,36,0,0,15,47.0,2,2,0,29,0.14903129657228018,False,False,76.0,9,Good
250,65,195,3,80,46,1,0,98,3,5,5,49,3,63,2,2,2,93,102.0,4,2,2,60,0.628930817610063,True,True,94.0,29,Good
457,89,171,3,90,14,0,0,100,125,7,7,15,1,27,3,1,1,3,29.0,1,2,0,60,0.14903129657228018,False,False,93.0,9,Good
423,79,114,9,49,28,0,0,100,125,7,7,28,2,36,0,1,1,2,42.0,3,3,0,43,0.14903129657228018,False,False,100.0,12,Good
609,65,123,2,53,29,4,1,83,11,6,2,36,2,33,36,0,0,15,,5,2,0,50,0.628930817610063,True,True,81.0,18,Bad
719,84,179,6,117,53,0,0,100,125,7,7,58,2,53,36,0,0,9,13.0,6,2,1,73,0.14903129657228018,False,False,91.0,42,Good
810,88,360,3,115,26,0,0,100,125,7,7,28,1,39,1,2,2,4,,4,1,0,45,0.14903129657228018,False,False,93.0,12,Good
304,80,319,9,111,18,0,0,100,125,7,7,22,1,50,0,0,0,73,,5,1,0,86,0.14903129657228018,False,False,82.0,18,Good
539,81,398,2,112,17,0,0,100,125,7,7,18,2,33,0,0,0,47,60.0,5,2,1,64,0.14903129657228018,False,False,94.0,11,Good
648,57,187,20,101,7,1,0,60,1,6,5,10,0,40,0,0,0,75,62.0,3,2,1,100,0.628930817610063,True,True,70.0,10,Bad
126,54,316,30,132,8,10,6,47,4,5,3,19,0,47,5,0,0,38,60.0,2,2,0,57,0.628930817610063,True,True,42.0,10,Bad
468,80,210,1,105,14,0,0,100,125,7,7,15,1,7,0,0,0,35,,4,1,1,50,0.14903129657228018,False,False,93.0,7,Bad
8,65,245,28,143,56,1,1,95,7,3,3,59,0,15,0,1,1,59,37.0,26,4,9,83,0.628930817610063,True,True,95.0,48,Bad
410,84,245,10,113,16,0,0,94,17,7,6,17,1,12,36,0,0,6,,2,2,0,40,0.14903129657228018,True,False,94.0,6,Good
281,65,221,1,90,28,2,2,94,20,7,6,33,6,48,0,4,4,9,67.0,3,2,0,56,0.14903129657228018,True,False,85.0,18,Bad
373,75,291,20,118,15,1,0,94,68,7,5,17,0,41,0,2,2,48,,3,1,0,83,0.14903129657228018,True,False,88.0,14,Bad
314,78,84,2,25,11,1,0,92,20,7,5,13,1,15,2,4,4,2,77.0,1,1,0,20,0.14903129657228018,True,False,85.0,2,Good
640,58,129,2,23,21,0,0,100,125,7,7,23,7,36,36,4,2,74,74.0,8,4,2,93,0.14903129657228018,False,False,91.0,21,Bad
509,83,375,18,143,13,0,0,92,35,7,6,13,0,15,0,0,0,6,,1,2,0,33,0.14903129657228018,True,False,100.0,4,Good
569,78,300,8,130,17,1,0,89,13,7,5,18,1,11,0,0,0,18,,5,1,0,55,0.14903129657228018,True,False,94.0,9,Good
801,68,156,6,46,10,1,0,91,125,7,5,11,2,27,36,2,1,74,89.0,4,2,3,75,0.14903129657228018,True,False,91.0,8,Bad
641,70,179,7,64,13,1,1,93,29,7,2,14,2,36,36,0,0,54,83.0,4,2,0,100,0.14903129657228018,True,False,93.0,14,Good
149,54,67,11,23,15,0,0,69,1,6,6,16,6,25,6,0,0,76,87.0,6,2,0,90,0.628930817610063,True,True,94.0,14,Bad
668,66,31,3,18,10,0,0,100,125,7,7,10,2,10,0,1,1,53,82.0,9,1,2,100,0.14903129657228018,False,False,100.0,10,Bad
230,66,425,3,63,12,1,0,79,18,7,5,14,3,36,0,0,0,23,92.0,6,2,1,100,0.14903129657228018,True,False,86.0,14,Bad
793,86,220,7,79,19,0,0,100,125,7,7,19,1,0,0,0,0,2,,3,2,0,21,0.14903129657228018,False,False,100.0,3,Good
394,83,97,7,57,17,0,0,100,125,7,7,17,1,24,36,0,0,19,85.0,3,3,0,60,0.14903129657228018,False,False,100.0,10,Good
354,87,207,1,65,14,0,0,100,125,7,7,15,2,33,24,1,1,5,10.0,3,2,0,50,0.14903129657228018,False,False,93.0,7,Good
504,75,247,1,80,28,0,0,87,17,7,6,46,2,23,36,2,2,8,97.0,4,2,1,40,0.14903129657228018,True,False,61.0,18,Bad
590,88,138,2,71,21,0,0,100,125,7,7,24,3,33,36,0,0,4,,2,1,0,75,0.14903129657228018,False,False,88.0,18,Bad
811,70,116,2,65,26,0,0,96,37,7,6,27,4,52,0,2,2,44,70.0,7,4,0,92,0.14903129657228018,True,False,96.0,24,Bad
767,66,122,0,51,31,0,0,100,125,7,7,37,6,62,0,17,14,40,68.0,5,4,2,82,0.14903129657228018,False,False,84.0,30,Bad
707,65,179,6,60,3,5,3,50,14,2,5,6,3,17,9,0,0,5,,3,2,0,60,0.628930817610063,True,True,50.0,3,Bad
138,79,158,3,54,23,0,0,100,125,7,7,25,2,38,3,2,2,14,130.0,1,2,0,50,0.14903129657228018,False,False,92.0,12,Good
754,87,169,8,61,19,0,0,100,125,7,7,19,1,26,0,0,0,1,,2,1,0,30,0.14903129657228018,False,False,100.0,5,Good
568,60,115,4,48,18,1,0,89,1,5,5,19,4,58,36,4,4,44,81.0,4,3,1,88,0.628930817610063,True,True,95.0,16,Bad
613,68,262,11,113,21,2,0,74,14,7,5,23,1,17,0,0,0,38,,3,2,3,25,0.14903129657228018,True,False,91.0,5,Good
733,66,221,2,57,33,0,0,100,125,7,7,37,7,44,1,4,4,33,86.0,10,3,0,70,0.14903129657228018,False,False,89.0,25,Good
22,60,172,5,59,9,1,1,62,2,6,4,13,1,69,4,1,1,13,64.0,2,3,0,83,0.628930817610063,True,True,69.0,10,Bad
421,90,240,20,123,19,0,0,100,125,7,7,21,0,19,0,0,0,3,,2,1,0,50,0.14903129657228018,False,False,90.0,10,Good
820,67,294,6,100,37,0,0,100,125,7,7,40,3,30,1,6,6,54,54.0,7,6,4,87,0.14903129657228018,False,False,92.0,34,Good
488,73,158,1,59,24,0,0,96,33,7,6,25,1,60,0,0,0,50,66.0,2,3,1,83,0.14903129657228018,True,False,96.0,20,Bad
290,79,364,35,111,22,0,0,100,125,7,7,31,0,27,0,0,0,93,51.0,1,2,1,75,0.14903129657228018,False,False,71.0,23,Good
273,64,175,7,72,23,0,0,100,125,7,7,24,1,13,0,2,2,77,75.0,10,1,6,71,0.14903129657228018,False,False,96.0,17,Bad
337,54,238,9,100,16,0,0,61,1,6,6,18,1,39,0,0,0,90,81.0,5,3,4,67,0.628930817610063,True,True,89.0,12,Bad
549,75,209,1,59,27,0,0,100,125,7,7,28,4,29,0,3,3,21,71.0,5,3,1,89,0.14903129657228018,False,False,96.0,24,Bad
674,71,269,4,93,26,0,0,96,9,6,6,31,3,23,3,1,1,46,,5,1,2,55,0.628930817610063,True,True,84.0,17,Good
326,57,142,8,61,44,0,0,84,6,6,6,44,1,16,0,8,8,45,,11,2,2,52,0.628930817610063,True,True,100.0,22,Bad
768,73,183,11,87,21,1,1,91,2,2,2,23,1,43,0,0,0,15,40.0,4,4,0,69,0.628930817610063,True,True,91.0,15,Good
416,65,153,4,81,17,0,0,89,29,7,6,19,3,53,1,1,1,60,,4,2,0,86,0.14903129657228018,True,False,89.0,16,Bad
508,86,323,5,71,33,0,0,100,125,7,7,34,2,41,36,1,1,6,87.0,2,3,0,31,0.14903129657228018,False,False,97.0,10,Good
771,69,82,7,46,33,0,0,100,125,7,7,34,3,32,0,0,0,46,81.0,7,4,2,73,0.14903129657228018,False,False,97.0,24,Good
520,78,191,51,120,8,1,0,50,10,6,5,12,0,25,36,1,1,0,,1,1,0,50,0.628930817610063,True,True,67.0,6,Bad
437,65,336,1,78,33,1,1,94,21,7,2,35,2,40,0,4,4,59,30.0,11,5,3,80,0.14903129657228018,True,False,94.0,28,Bad
56,66,188,3,80,17,0,0,88,4,6,6,17,3,82,1,3,3,6,95.0,1,7,0,89,0.628930817610063,True,True,100.0,15,Bad
159,84,188,12,78,30,0,0,100,125,7,7,30,0,21,2,1,1,0,,1,2,1,75,0.14903129657228018,False,False,100.0,22,Good
252,77,46,5,27,7,0,0,100,125,7,7,7,2,43,0,1,1,0,96.0,0,2,0,67,0.14903129657228018,False,False,100.0,4,Bad
721,66,398,13,129,14,1,0,81,2,6,5,16,0,13,0,0,0,32,,3,1,0,67,0.628930817610063,True,True,88.0,10,Bad
710,64,79,4,41,16,0,0,100,125,7,7,17,4,24,6,0,0,79,95.0,6,3,5,91,0.14903129657228018,False,False,94.0,15,Bad
121,86,129,13,74,17,0,0,100,125,7,7,17,0,35,0,0,0,10,,3,1,0,80,0.14903129657228018,False,False,100.0,13,Bad
781,63,53,10,24,19,0,0,100,125,7,7,19,2,79,0,0,0,104,86.0,2,8,2,91,0.14903129657228018,False,False,100.0,17,Bad
652,82,177,5,54,25,0,0,96,125,7,6,26,4,42,0,1,1,9,77.0,4,2,0,75,0.14903129657228018,True,False,96.0,19,Bad
239,86,174,5,68,12,0,0,92,50,7,6,12,2,17,0,1,1,1,73.0,2,1,0,38,0.14903129657228018,True,False,100.0,4,Good
287,66,183,17,62,28,0,0,100,125,7,7,29,0,28,12,0,0,86,54.0,8,2,8,91,0.14903129657228018,False,False,97.0,26,Bad
292,85,249,6,100,13,0,0,100,125,7,7,15,1,47,0,2,2,29,75.0,1,3,0,80,0.14903129657228018,False,False,87.0,12,Bad
93,63,203,41,111,11,1,1,69,13,7,3,13,0,38,0,0,0,93,,8,2,3,100,0.14903129657228018,True,False,85.0,13,Bad
318,90,179,13,86,12,0,0,100,125,7,7,12,0,25,0,4,4,0,,2,1,0,50,0.14903129657228018,False,False,100.0,6,Good
174,76,24,8,12,12,0,0,100,125,7,7,12,7,25,0,0,0,9,,2,2,0,50,0.14903129657228018,False,False,100.0,6,Good
383,66,24,1,12,11,0,0,100,125,7,7,12,5,17,0,0,0,42,100.0,3,1,3,67,0.14903129657228018,False,False,92.0,8,Bad
400,86,257,14,126,25,0,0,100,125,7,7,25,0,8,0,0,0,18,,5,1,0,40,0.14903129657228018,False,False,100.0,10,Good
529,87,276,9,92,25,0,0,100,125,7,7,38,2,32,1,2,2,7,,3,3,0,67,0.14903129657228018,False,False,66.0,25,Good
431,59,154,3,65,27,0,0,100,125,7,7,27,6,37,0,2,2,85,74.0,8,3,5,79,0.14903129657228018,False,False,100.0,21,Bad
500,78,173,4,90,23,0,0,100,125,7,7,24,1,52,36,0,0,43,,5,1,1,60,0.14903129657228018,False,False,96.0,14,Good
133,88,190,6,65,20,0,0,100,125,7,7,21,1,14,5,1,1,0,50.0,4,2,0,46,0.14903129657228018,False,False,95.0,9,Good
240,73,167,2,87,9,0,0,90,74,7,6,10,1,80,0,3,3,27,99.0,3,2,0,100,0.14903129657228018,True,False,90.0,10,Bad
193,79,41,1,15,6,0,0,100,125,7,7,8,2,25,0,2,2,1,64.0,1,2,0,38,0.14903129657228018,False,False,75.0,3,Bad
390,89,290,12,71,9,0,0,100,125,7,7,29,0,0,9,0,0,15,,1,2,0,33,0.14903129657228018,False,False,31.0,9,Good
152,80,233,143,211,4,0,0,100,125,7,7,4,0,0,23,0,0,92,,1,2,1,50,0.14903129657228018,False,False,100.0,2,Bad
818,60,131,6,50,31,0,0,100,125,7,7,31,2,35,10,0,0,75,54.0,14,5,8,95,0.14903129657228018,False,False,100.0,29,Good
2,81,131,16,59,19,1,0,90,15,7,5,20,0,30,0,0,0,3,,1,1,0,25,0.14903129657228018,True,False,95.0,5,Bad
535,89,233,3,118,35,0,0,100,125,7,7,36,4,33,15,0,0,0,,4,2,0,33,0.14903129657228018,False,False,97.0,11,Good
179,65,268,2,77,40,1,1,98,49,7,2,42,6,24,3,1,1,62,60.0,7,3,3,83,0.14903129657228018,True,False,95.0,34,Good
107,61,247,4,95,36,0,0,92,1,6,6,39,1,59,0,1,1,87,99.0,8,4,3,93,0.628930817610063,True,True,92.0,36,Bad
97,84,110,30,67,12,0,0,100,125,7,7,13,0,23,0,1,1,4,74.0,2,2,0,80,0.14903129657228018,False,False,92.0,10,Good
595,66,340,11,117,36,0,0,100,125,7,7,36,1,11,0,0,0,81,,20,1,11,75,0.14903129657228018,False,False,100.0,27,Bad
805,57,209,2,92,34,1,1,92,3,6,6,37,2,19,1,1,1,22,,7,1,2,67,0.628930817610063,True,True,92.0,24,Bad
312,90,233,14,100,20,0,0,100,125,7,7,20,0,35,0,0,0,10,,4,3,0,54,0.14903129657228018,False,False,100.0,10,Good
65,85,149,8,63,15,0,0,100,125,7,7,15,1,40,0,2,2,5,32.0,1,3,0,44,0.14903129657228018,False,False,100.0,6,Good
463,66,174,6,72,29,3,2,87,16,7,4,32,2,19,0,1,0,37,87.0,9,2,4,65,0.14903129657228018,True,False,91.0,20,Bad
115,72,126,12,64,15,0,0,100,125,7,7,15,0,47,0,2,2,77,69.0,4,2,2,75,0.14903129657228018,False,False,100.0,11,Bad
169,66,162,9,51,21,1,1,86,26,7,2,22,1,45,1,6,6,32,76.0,5,2,0,64,0.14903129657228018,True,False,95.0,14,Bad
758,61,246,20,95,18,2,2,86,11,6,4,21,0,38,0,1,1,62,,5,1,2,88,0.628930817610063,True,True,86.0,18,Bad
395,85,181,6,77,7,0,0,100,125,7,7,10,1,50,5,0,0,0,95.0,0,2,0,50,0.14903129657228018,False,False,70.0,5,Good
790,61,173,2,96,16,2,0,79,3,6,5,19,2,21,0,0,0,31,47.0,6,2,1,80,0.628930817610063,True,True,84.0,15,Good
4,68,220,9,69,27,0,0,100,125,7,7,27,3,44,0,2,2,95,59.0,4,4,2,100,0.14903129657228018,False,False,100.0,27,Bad
44,63,259,15,94,16,0,0,81,1,6,6,32,0,44,1,2,2,62,50.0,4,2,2,86,0.628930817610063,True,True,50.0,27,Bad
